user_id,name,ethnicity,language_preferences,city,art_interests,culture_preferences,mood_preferences,activity_level,join_date
U0000,Nuwan Gunasekara,sinhala,['mixed_sinhala_english'],Matara,['literature'],['contemporary'],"['spiritual', 'romantic', 'energetic', 'celebratory']",high,2025-09-23T10:09:28.497962
U0001,Thisara Amarasinghe,sinhala,['sinhala'],Galle,"['literature', 'crafts']","['traditional', 'contemporary']","['reflective', 'patriotic']",medium,2025-08-23T10:09:28.498055
U0002,Sachini Perera,sinhala,['sinhala'],Trincomalee,['drama'],"['fusion', 'contemporary']","['spiritual', 'energetic', 'celebratory', 'romantic']",medium,2025-02-25T10:09:28.498108
U0003,Madhavi Rajapaksa,sinhala,['mixed_sinhala_english'],Ratnapura,['literature'],['contemporary'],"['energetic', 'devotional']",high,2025-08-23T10:09:28.498130
U0004,Madhavi Sivarajah,sinhala,['sinhala'],Mannar,['drama'],['contemporary'],"['energetic', 'spiritual']",medium,2025-08-27T10:09:28.498147
U0005,Kavitha Wickremasinghe,other,['english'],Monaragala,['dance'],['fusion'],"['devotional', 'reflective', 'celebratory']",medium,2025-03-28T10:09:28.498165
U0006,Kamala Senanayake,tamil,['tamil'],Kurunegala,['literature'],"['traditional', 'traditional']","['romantic', 'patriotic', 'intellectual', 'energetic']",low,2025-06-22T10:09:28.498183
U0007,Dilini De Silva,sinhala,['mixed_sinhala_english'],Kalutara,"['dance', 'music']",['contemporary'],"['spiritual', 'energetic', 'devotional']",medium,2025-05-18T10:09:28.498200
U0008,Anusha Ranasinghe,sinhala,['sinhala'],Kegalle,['crafts'],"['contemporary', 'contemporary']","['devotional', 'spiritual', 'energetic']",high,2025-08-31T10:09:28.498214
U0009,Tharindu Gunawardena,other,['english'],Kandy,"['drama', 'crafts', 'music']",['contemporary'],"['celebratory', 'romantic']",medium,2026-01-03T10:09:28.498232
U0010,Madhavi Wickremasinghe,sinhala,"['sinhala', 'english']",Gampaha,['crafts'],['traditional'],"['spiritual', 'devotional', 'romantic']",low,2025-11-08T10:09:28.498250
U0011,Anusha Gunasekara,sinhala,['sinhala'],Puttalam,"['visual_arts', 'music', 'crafts']","['contemporary', 'contemporary']","['intellectual', 'romantic', 'energetic']",high,2025-09-19T10:09:28.498265
U0012,Nuwan Amarasinghe,sinhala,['mixed_sinhala_english'],Matara,"['dance', 'literature']",['traditional'],"['patriotic', 'celebratory']",medium,2025-08-23T10:09:28.498278
U0013,Ravi Wijesinghe,sinhala,['mixed_sinhala_english'],Kegalle,"['crafts', 'literature', 'visual_arts']",['contemporary'],"['energetic', 'celebratory', 'devotional']",medium,2025-07-15T10:09:28.498291
